URL,Precio,Referencia,Zona,Disposición,M² edificados,M² del terreno,Dormitorios,Plantas,Barrio Privado,Acepta permuta,Tipo de Propiedad,Estado,Baños,M² de terraza,Año de Construcción,Garajes,Sobre,Cuota inicial,Vivienda Social
https://www.infocasas.com.pe/vendo-departamento-piso-9-vista-externa-panoramica-con-balcon-cercado-de-lima/192084905,U$S 69.000,NB59F7,Cercado De Lima,,58 m2,,3,,,,Departamento,Buen estado,2,,2015,,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-m-con-balcon-exterior-en-monte-umbroso/190521190,S/ 2.021.900,R4BEA6,Santiago De Surco,No aplica,282 m2,,3,,,,Departamento,Buen estado,3,,,3,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-m-tres-dormitorios-y-deposito-aurora-miraflores/190521087,S/ 1.425.000,H63346,Miraflores,No aplica,177 m2,,3,,,,Departamento,Buen estado,3,,,2,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-m-de-tres-dormitorios-en-san-isidro/190678601,S/ 1.850.000,Y79B45,San Isidro,No aplica,200 m2,,3,,,,Departamento,Buen estado,3,,,2,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-tres-dormitorios-de-m-vista-al-golf-de-san-isidro/190521198,S/ 1.980.000,DB7D7D,San Isidro,No aplica,212 m2,,3,,,,Departamento,Buen estado,3,,,2,No aplica,,
https://www.infocasas.com.pe/vendo-loft-en-jr-trujillo-distrito-de-rimac/191173100,S/ 137.000,FE001F,Rimac,No aplica,42 m2,,1,,,,Departamento,Buen estado,1,,,,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-vista-parcial-parque-3-dorm-1-bano/192469022,U$S 148.000,Y2E231,San Borja,Lateral,85 m2,,3,1,,,Departamento,Buen estado,1,,,,Rambla,,
https://www.infocasas.com.pe/vendo-exclusivo-triplex-con-terraza-y-opcion-de-jacuzzi-en-miraflores/192509982,U$S 570.000,XE1CDA,Miraflores,Al frente,155 m2,,3,,,,Departamento,Buen estado,3,,2006,2,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-en-1er-piso-1d-120m2-cerca-a-domingo-orue-surquillo/192289709,U$S 190.000,H15AB4,Surquillo,No aplica,120 m2,,1,1,,,Departamento,Buen estado,1,,,1,No aplica,,
https://www.infocasas.com.pe/vendo-amplio-flat-3dor-02-cocheras-remodelado-ubicado-en-chacarilla-san-borja/192488606,U$S 330.000,CC016C,San Borja,Al frente,240 m2,,3,3,,,Departamento,Excelente estado,3,30 m2,2000,2,No aplica,,
https://www.infocasas.com.pe/vendo-moderno-departamento-3dor-cochera-doble-en-valle-hermoso-surco/192471598,U$S 205.600,SFD2C2,Santiago De Surco,No aplica,138 m2,,3,1,,,Departamento,Excelente estado,3,,2016,2,Avenida,,
https://www.infocasas.com.pe/vendo-triplex-de-217-m2-en-surco-4-dormitorios/192454594,U$S 350.000,C9163C,Santiago De Surco,Al frente,217 m2,,5,1,,,Departamento,Buen estado,3,217 m2,2015,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-183-m-2-estacionamientos-en-charrilla-y-surco/192371697,U$S 390.000,D20BF6,Santiago De Surco,No aplica,183 m2,,4,1,,,Departamento,Excelente estado,3,,2021,2,No aplica,,
https://www.infocasas.com.pe/vendo-duplex-remodelado-de-247m2-3d-surco/192237969,U$S 355.000,F73DA3,Santiago De Surco,No aplica,247 m2,,3,1,,,Departamento,Excelente estado,3,,,2,No aplica,,
https://www.infocasas.com.pe/vendo-flat-3dorm-urbchama-surco-entrega-15-de-agosto-2025/192027065,U$S 200.000,T33E51,Santiago De Surco,No aplica,103 m2,,3,1,,,Departamento,A estrenar,3,,2025,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-estreno-frente-a-parque-03-dormitorios-todos-con-bano/192466561,U$S 420.000,XEE0A5,Miraflores,Al frente,157 m2,,3,1,,,Departamento,A estrenar,3,,,2,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-130m2-en-urb-las-magnolias-y-san-borja/192362635,U$S 170.000,B3144B,San Borja,No aplica,130 m2,,3,1,,,Departamento,Excelente estado,2,,,,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-101m2-cochera-en-urb-la-calera-y-surquillo/192376542,U$S 175.000,P838EE,Surquillo,No aplica,101 m2,,1,1,,,Departamento,Excelente estado,1,,2006,,No aplica,,
https://www.infocasas.com.pe/vendo-duplex-4d-cochera-surco/192330763,U$S 270.000,B38B79,Santiago De Surco,No aplica,214 m2,,4,1,,,Departamento,Excelente estado,3,,,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-de-2-d-71m2-1er-piso-san-miguel/192234375,U$S 86.000,Z87AD4,San Miguel,No aplica,71 m2,,2,1,,,Departamento,Excelente estado,2,,,,No aplica,,
https://www.infocasas.com.pe/vendo-dpto-3d-140m2-miraflores/192194278,U$S 300.000,Y78AE9,Miraflores,No aplica,140 m2,,3,1,,,Departamento,Excelente estado,3,,,2,No aplica,,
https://www.infocasas.com.pe/vendo-dpto-estreno-3d-2-estac-191m2-miraflores/192168923,U$S 396.500,J37ACE,Miraflores,No aplica,191 m2,,3,1,,,Departamento,A estrenar,3,,2025,2,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-duplex-de-1er-piso-aurora-miraflores/192285709,U$S 390.000,F603F2,Miraflores,No aplica,257 m2,,3,1,,,Departamento,Excelente estado,2,,,3,No aplica,,
https://www.infocasas.com.pe/vendo-duplex-3dorm-urbchama-surco-entrega-15-de-agosto-2025/192179367,U$S 304.000,ND7146,Santiago De Surco,No aplica,206 m2,,3,1,,,Departamento,A estrenar,3,,2025,1,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-flat-totalmente-amoblado-miraflores/192331309,U$S 230.000,UF8B3A,Miraflores,No aplica,80 m2,,2,1,,,Departamento,Excelente estado,3,,,,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-en-2do-piso-3d-185m2-cerca-a-domingo-orue-y-metro/192289648,U$S 250.000,DE2D8D,Surquillo,No aplica,185 m2,,3,1,,,Departamento,Excelente estado,2,,,,No aplica,,
https://www.infocasas.com.pe/vendo-duplex-248m2-paseo-del-bosque-san-borja/192209424,U$S 490.000,H2BA43,San Borja,No aplica,248 m2,,4,1,,,Departamento,Excelente estado,3,,2013,2,No aplica,,
https://www.infocasas.com.pe/vendo-duplex-256m2-4d-paseo-del-bosque-san-borja/192225597,U$S 369.000,D8E87C,San Borja,No aplica,256 m2,,4,1,,,Departamento,Excelente estado,3,,2010,2,No aplica,,
https://www.infocasas.com.pe/vendo-dpto-3d-linda-zona-de-la-calera-surquillo/192335508,U$S 125.000,J2506F,Surquillo,No aplica,68 m2,,3,1,,,Departamento,Excelente estado,2,,,,No aplica,,
https://www.infocasas.com.pe/vendo-hermoso-departamento-duplex-en-playa-los-pulpos-km-41/192285079,U$S 165.000,F1444D,Lurin,No aplica,150 m2,,3,2,,,Departamento,Excelente estado,3,,,1,No aplica,,
https://www.infocasas.com.pe/vendo-duplex-estreno-de-2-dorm-con-estacionamiento-surquillo/192082199,U$S 155.000,J80C8C,Surquillo,No aplica,86 m2,,2,1,,,Departamento,Excelente estado,3,,2024,1,No aplica,,
https://www.infocasas.com.pe/vendo-duplex-aires-200m2-5d-urb-orbea-magdalena/192147027,U$S 210.000,HDF476,Magdalena Del Mar,No aplica,200 m2,,5,1,,,Departamento,Requiere mantenimiento,3,,1985,,No aplica,,
https://www.infocasas.com.pe/vendo-lindo-duplex-3d-con-vista-parcial-al-mar-miraflores/192124981,U$S 325.000,T80F48,Miraflores,No aplica,200 m2,,3,1,,,Departamento,Excelente estado,3,,2005,2,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-87m2-piso-10-2dorm-miraflores/192117086,U$S 610.000,RD07DD,Miraflores,No aplica,87 m2,,2,1,,,Departamento,A estrenar,1,,2025,,No aplica,,
https://www.infocasas.com.pe/vendo-departamento-en-urb-la-calera-de-la-merced-y-surquillo/192050578,U$S 179.000,MF94FF,Surquillo,No aplica,170 m2,,3,1,,,Departamento,Excelente estado,2,,,,No aplica,,
https://www.infocasas.com.pe/vendo-dpto-punta-hermosa-al-costado-de-la-rotonda-03-dorm-01-estac/192095128,U$S 235.000,D2C123,Punta Hermosa,Al frente,95 m2,,3,1,,,Departamento,A estrenar,3,,2024,1,No aplica,,
